Material;Materialkurztext;Sprache;MArt;Warengruppe;Externe Warengrp.;Werk;Prctr;BME;BeschArt;EKG;nicht kalkulieren;Kalkulationslosgr”áe;BME;BGrpA;Standardpreis;W„hrg;pro;GLD-Preis;W„hrg;Steu.Prs 1;W„hrg;Planpreis 1;W„hrg
220105;50 L HyQtainer;DE;YUNB;240000000;2000;DE01;Y010;ST;;;;1;ST;0;0;;1;0;;0;;0;
7831;CASO-Abkl. m. á-Lakt.II + LTHTh-ICR+;DE;YFER;919100000;7060;CH01;Y026;ST;F;CH2;;1;ST;0;2.9;;1;2.9;;0;;0;
7106E;CLED-Agar;DE;YFER;919100000;7060;CH01;Y026;ST;X;CH2;;1;ST;0;0.58;;1;0.01;;0;;0;
7TN1236;Enrichement Medium E. acc. to EP;DE;YHAW;992010000;9814;CH01;Y024;ST;F;CH2;;1;ST;0;74.54;;1;66.14;;0;;0;
182055002;FS Hepatect CP 40 ml Tschechien;DE;YROH;182400050;1800;DE01;Y010;ST;F;OZ2;;3000;ST;0;257.99;;1000;243.8;;243.8;;263.02;
185760001;GI ANTIB CP ARGENTINIEN;DE;YROH;182200006;1800;DE01;Y010;ST;F;OZ2;;1000;ST;0;171.44;;1000;137;;137;;171.44;
184211001;KE Haemoctin 1000 Russland;DE;YROH;182150150;1800;DE01;Y010;ST;F;OZ2;;2000;ST;0;162.7;;1000;151.09;;151.08;;92.25;
763000;Kovacs-Indolreagenz (100ml);DE;YHAW;919200000;7900;AT01;Y026;ST;F;AT1;;1;ST;0;9.8;;1;9.8;;0;;9.8;
763000;Kovacs-Indolreagenz (100ml);DE;YHAW;919200000;7900;CH01;Y026;ST;F;CH2;;1;ST;0;14.84;;1;15.37;;0;;0;
698648801;Pentaglobin Modell;DE;YUNB;698000000;6980;DE01;Y010;ST;;OZ4;;1;ST;0;0;;1;0;;0;;0;
191808;Printer Ergo Touch/ Ergo Touch Pro;DE;YVRO;918000000;9923;AT01;Y022;ST;X;;;1;ST;0;300;;1;300;;0;;0;
191808;Printer Ergo Touch/ Ergo Touch Pro;DE;YVRO;918000000;9923;CH01;Y022;ST;F;CH2;;1;ST;0;480;;1;861.71;;0;;0;
191808;Printer Ergo Touch/ Ergo Touch Pro;DE;YVRO;918000000;9923;DE01;Y022;ST;F;OZ3;;5;ST;0;207.78;;1;201.67;;201.67;;202.32;
698624941;PRINTFRAME DUO, Motiv Intratect;DE;YUNB;698000000;6980;DE01;Y010;ST;;OZ4;;1;ST;0;0;;1;0;;0;;0;
698900102;Product List Microbiology 2011;DE;YUNB;698000000;6980;CH01;Y022;ST;X;CH5;;1;ST;0;0;;1;0;;0;;0;
698900102;Product List Microbiology 2011;DE;YUNB;698000000;6980;DE01;Y022;ST;;OZ4;;1;ST;0;0;;1;0;;0;;0;
698310400;SD - Von Natur aus einzigartig;DE;YUNB;698000000;6980;DE01;Y010;ST;;OZ4;;1;ST;0;0;;1;0;;0;;0;
7393R;SIM - Agar;DE;YFER;919100000;7720;CH01;Y026;ST;F;CH1;;1;ST;0;0.74;;1;0.67;;0;;0;
282804;SUPRADISC SDP EKS 300PEKSS216SP;DE;YROH;230000000;2000;DE01;Y010;FE;F;OZ1;;18;FE;0;115.66;;1;114.66;;114.66;;116.86;
